PC Name,No,CATEGORY,State,WINNER,PARTY,Electors,Votes,Turnout,Margin,Margin %
Adilabad,1,ST,Andhra Pradesh,Rathod Ramesh,Telugu Desam,1131211,863248,76.30%,115087,13.30%
Agra,18,SC,Uttar Pradesh [2000 Onwards],Dr. Ramshankar,Bharatiya Janta Party,1539683,648793,42.10%,9715,1.50%
Ahmadnagar,37,GEN,Maharashtra,Gandhi Dilipkumar Mansukhlal,Bharatiya Janta Party,1517951,787153,51.90%,46731,5.90%
Ahmedabad East,7,GEN,Gujarat,Harin Pathak,Bharatiya Janta Party,1411761,597395,42.30%,86056,14.40%
Ahmedabad West,8,SC,Gujarat,Dr. Solanki Kiritbhai Premajibhai,Bharatiya Janta Party,1431080,690071,48.20%,91127,13.20%
Ajmer,13,GEN,Rajasthan,Sachin Pilot,Indian National Congress,1455339,771272,53.00%,76135,9.90%
Akbarpur,44,GEN,Uttar Pradesh [2000 Onwards],Rajaram Pal,Indian National Congress,1461050,637264,43.60%,32043,5.00%
Akola,6,GEN,Maharashtra,Dhotre Sanjay Shamrao,Bharatiya Janta Party,1480606,740014,50.00%,64848,8.80%
Alappuzha,15,GEN,Kerala,K.C Venugopal,Indian National Congress,1147162,911120,79.40%,57635,6.30%
Alathur,9,SC,Kerala,P.K Biju,Communist Party Of India (MARXIST),1100843,830044,75.40%,20960,2.50%
Aligarh,15,GEN,Uttar Pradesh [2000 Onwards],Raj Kumari Chauhan,Bahujan Samaj Party,1345351,694110,51.60%,16557,2.40%
Alipurduars,2,ST,West Bengal,Manohar Tirkey,Revolutionary Socialist Party,1229301,934622,76.00%,112822,12.10%
Allahabad,52,GEN,Uttar Pradesh [2000 Onwards],Raman Singh,Samajwadi Party,1267492,550220,43.40%,34920,6.30%
Almora,3,SC,Uttarakhand,Pradeep Tamta,Indian National Congress,1057379,481891,45.60%,6950,1.40%
Alwar,8,GEN,Rajasthan,Jitendra Singh,Indian National Congress,1373384,762306,55.50%,156619,20.50%
Amalapuram,24,SC,Andhra Pradesh,G.V.Harsha Kumar,Indian National Congress,1275287,1027127,80.50%,40005,3.90%
Ambala,1,SC,Haryana,Selja,Indian National Congress,1264907,866507,68.50%,14570,1.70%
Ambedkar Nagar,55,GEN,Uttar Pradesh [2000 Onwards],Rakesh Pandey,Bahujan Samaj Party,1494838,810886,54.30%,22736,2.80%
Amethi,37,GEN,Uttar Pradesh [2000 Onwards],Rahul Gandhi,Indian National Congress,1431787,646653,45.20%,370198,57.20%
Amravati,7,SC,Maharashtra,Adsul Anandrao Vithoba,Shiv Sena,1423855,732573,51.50%,61716,8.40%
Amreli,14,GEN,Gujarat,Kachhadia Naranbhai,Bharatiya Janta Party,1312733,524642,40.00%,37317,7.10%
Amritsar,2,GEN,Punjab,Navjot Singh Sidhu,Bharatiya Janta Party,1241099,814503,65.60%,6858,0.80%
Amroha,9,GEN,Uttar Pradesh [2000 Onwards],Devendra Nagpal,Rashtriya Lok Dal,1173915,706599,60.20%,92083,13.00%
Anakapalli,22,GEN,Andhra Pradesh,Sabbam Hari,Indian National Congress,1331695,1051708,79.00%,52912,5.00%
Anand,16,GEN,Gujarat,Solanki Bharatbhai Madhavsinh,Indian National Congress,1397162,676072,48.40%,67318,10.00%
Anandpur Sahib,6,GEN,Punjab,Ravneet Singh,Indian National Congress,1338596,904606,67.60%,67204,7.40%
Anantapur,36,GEN,Andhra Pradesh,Anantha Venkata Rami Reddy,Indian National Congress,1411460,1002775,71.10%,77921,7.80%
Anantnag,3,GEN,Jammu & Kashmir,Mirza Mehboob Beg,Jammu & Kashmir National Conference,1176223,318726,27.10%,5224,1.60%
Andaman & Nicobar Islands,1,GEN,Andaman & Nicobar Islands,Shri. Bishnu Pada Ray,Bharatiya Janta Party,265108,170107,64.20%,2990,1.80%
Aonla,24,GEN,Uttar Pradesh [2000 Onwards],Menka Gandhi,Bharatiya Janta Party,1310878,704611,53.80%,7681,1.10%
Arakkonam,7,GEN,Tamil Nadu,Jagathrakshakan,Dravida Munetra Kazhagam,1098607,854683,77.80%,109796,12.80%
Arambagh,29,SC,West Bengal,Malik Sakti Mohan,Communist Party Of India (MARXIST),1375377,1163581,84.60%,201558,17.30%
Arani,12,GEN,Tamil Nadu,Krishnasswamy M,Indian National Congress,1097865,843076,76.80%,106830,12.70%
Araria,9,GEN,Bihar [2000 Onwards],Pradeep Kumar Singh,Bharatiya Janta Party,1311225,730459,55.70%,22502,3.10%
Arrah,32,GEN,Bihar [2000 Onwards],Meena Singh,Janata Dal (United),1555122,556364,35.80%,74720,13.40%
Aruku,18,ST,Andhra Pradesh,Kishore Chandra Suryanarayana Deo Vyricherla,Indian National Congress,1182514,796043,67.30%,192444,24.20%
Arunachal East,2,GEN,Arunachal Pradesh,Ninong Ering,Indian National Congress,301173,214930,71.40%,68449,31.80%
Arunachal West,1,GEN,Arunachal Pradesh,Takam Sanjoy,Indian National Congress,433368,285666,65.90%,1314,0.50%
Asansol,40,GEN,West Bengal,Bansa Gopal Chowdhury,Communist Party Of India (MARXIST),1250052,893860,71.50%,72956,8.20%
Aska,19,GEN,Orissa,Nityananda Pradhan,Biju Janata Dal,1286194,701795,54.60%,232834,33.20%
Attingal,19,GEN,Kerala,Adv. A Sampath,Communist Party Of India (MARXIST),1091432,725168,66.40%,18341,2.50%
Aurangabad,19,GEN,Maharashtra,Chandrakant Khaire,Shiv Sena,1417964,598332,42.20%,33014,5.50%
Aurangabad,37,GEN,Bihar [2000 Onwards],Sushil Kumar Singh,Janata Dal (United),1376323,598332,43.50%,72058,12.00%
Autonomous District,3,ST,Assam,Biren Singh Engti,Indian National Congress,693407,480748,69.30%,74548,15.50%
Azamgarh,69,GEN,Uttar Pradesh [2000 Onwards],Ramakant Yadav,Bharatiya Janta Party,1578854,705508,44.70%,49039,7.00%
Badaun,23,GEN,Uttar Pradesh [2000 Onwards],Dharmendra Yadav,Samajwadi Party,1405695,737438,52.50%,32542,4.40%
Bagalkot,3,GEN,Karnataka,Gaddigoudar Parvatagouda Chandanagouda,Bharatiya Janta Party,1363359,859976,63.10%,35446,4.10%
Baghpat,11,GEN,Uttar Pradesh [2000 Onwards],Ajit Singh,Rashtriya Lok Dal,1280602,613758,47.90%,63027,10.30%
Baharampur,10,GEN,West Bengal,Adhir Ranjan Chowdhury,Indian National Congress,1179938,953789,80.80%,186977,19.60%
Bahraich,56,SC,Uttar Pradesh [2000 Onwards],Kamal Kishor,Indian National Congress,1246823,512702,41.10%,38953,7.60%
Balaghat,15,GEN,Madhya Pradesh [2000 Onwards],K. D. Deshmukh,Bharatiya Janta Party,1339239,756832,56.50%,40819,5.40%
Balasore,6,GEN,Orissa,Srikant Kumar Jena,Indian National Congress,1269342,892345,70.30%,38900,4.40%
Ballia,72,GEN,Uttar Pradesh [2000 Onwards],Neeraj Shekhar,Samajwadi Party,1679029,677426,40.40%,72555,10.70%
Balurghat,6,GEN,West Bengal,Prasanta Kumar Majumdar,Revolutionary Socialist Party,1010224,876355,86.80%,5105,0.60%
Banaskantha,2,GEN,Gujarat,Gadhvi Mukeshkumar Bheiravdanji,Indian National Congress,1296871,646305,49.80%,10301,1.60%
Banda,48,GEN,Uttar Pradesh [2000 Onwards],R. K. Singh Patel,Samajwadi Party,1386265,619203,44.70%,34593,5.60%
Bangalore Central,25,GEN,Karnataka,P. C. Mohan,Bharatiya Janta Party,1901346,847135,44.60%,35218,4.20%
Bangalore North,24,GEN,Karnataka,D. B. Chandre Gowda,Bharatiya Janta Party,2144091,1001678,46.70%,59665,6.00%
Bangalore Rural,23,GEN,Karnataka,H D Kumaraswamy,Janata Dal (Secular),1904135,1103049,57.90%,130275,11.80%
Bangalore South,26,GEN,Karnataka,Ananth Kumar,Bharatiya Janta Party,2031030,908751,44.70%,37612,4.10%
Bangaon,14,SC,West Bengal,Gobinda Chandra Naskar,All India Trinamool Congress,1246979,1078719,86.50%,92826,8.60%
Banka,27,GEN,Bihar [2000 Onwards],Digvijay Singh,Independent,1338025,652097,48.70%,28716,4.40%
Bankura,36,GEN,West Bengal,Acharia Basudeb,Communist Party Of India (MARXIST),1268563,985847,77.70%,107802,10.90%
Bansgaon,67,SC,Uttar Pradesh [2000 Onwards],Kamlesh Paswan,Bharatiya Janta Party,1663648,649218,39.00%,52787,8.10%
Banswara,20,ST,Rajasthan,Tarachand Bhagora,Indian National Congress,1457980,769532,52.80%,199418,25.90%
Bapatla,32,SC,Andhra Pradesh,Panabaka Lakshmi,Indian National Congress,1321607,1046640,79.20%,69338,6.60%
Barabanki,53,SC,Uttar Pradesh [2000 Onwards],P.L.Punia,Indian National Congress,1422218,743415,52.30%,167913,22.60%
Baramati,35,GEN,Maharashtra,Supriya Sule,Nationalist Congress Party,1593460,734048,46.10%,336831,45.90%
Baramulla,1,GEN,Jammu & Kashmir,Sharief Ud Din Shariq,Jammu & Kashmir National Conference,1054496,441234,41.80%,64814,14.70%
Barasat,17,GEN,West Bengal,Kakali Ghosh Dastidar,All India Trinamool Congress,1226654,1026860,83.70%,122901,12.00%
Bardhaman Purba,38,SC,West Bengal,Anup Kumar Saha,Communist Party Of India (MARXIST),1289311,1124896,87.30%,59419,5.30%
Bardoli,23,ST,Gujarat,Chaudhari Tusharbhai Amrasinhbhai,Indian National Congress,1440215,832705,57.80%,58985,7.10%
Bareilly,25,GEN,Uttar Pradesh [2000 Onwards],Praveen Singh Aron,Indian National Congress,1401423,705939,50.40%,9338,1.30%
Bargarh,1,GEN,Orissa,Sanjay Bhoi,Indian National Congress,1320274,919459,69.60%,98444,10.70%
Barmer,17,GEN,Rajasthan,Harish Choudhary,Indian National Congress,1441456,786516,54.60%,119106,15.10%
Barpeta,6,GEN,Assam,Ismail Hussain,Indian National Congress,1239607,902287,72.80%,30429,3.40%
Barrackpore,15,GEN,West Bengal,Dinesh Trivedi,All India Trinamool Congress,1081237,870792,80.50%,56024,6.40%
Basirhat,18,GEN,West Bengal,Sk. Nurul Islam,All India Trinamool Congress,1198579,1038520,86.70%,60383,5.80%
Bastar,10,ST,Chhattisgarh,Baliram Kashyap,Bharatiya Janta Party,1193116,564742,47.30%,100262,17.80%
Basti,61,GEN,Uttar Pradesh [2000 Onwards],Arvind Kumar Chaudhary,Bahujan Samaj Party,1570657,773985,49.30%,105210,13.60%
Bathinda,11,GEN,Punjab,Harsimrat Kaur Badal,Shiromani Akali Dal,1336790,1048144,78.40%,120948,11.50%
Beed,39,GEN,Maharashtra,Munde Gopinathrao Pandurang,Bharatiya Janta Party,1637239,1074052,65.60%,140952,13.10%
Begusarai,24,GEN,Bihar [2000 Onwards],Dr. Monazir Hassan,Janata Dal (United),1473263,718408,48.80%,40837,5.70%
Belgaum,2,GEN,Karnataka,Angadi Suresh Channabasappa,Bharatiya Janta Party,1378238,754295,54.70%,118687,15.70%
Bellary,9,ST,Karnataka,J. Shantha,Bharatiya Janta Party,1401258,860948,61.40%,2243,0.30%
Berhampur,20,GEN,Orissa,Sidhant Mohapatra,Biju Janata Dal,1207552,711181,58.90%,57287,8.10%
Betul,29,ST,Madhya Pradesh [2000 Onwards],Jyoti Dhurve,Bharatiya Janta Party,1286761,636564,49.50%,97317,15.30%
Bhadohi,78,GEN,Uttar Pradesh [2000 Onwards],Gorakhnath,Bahujan Samaj Party,1519449,658731,43.40%,12963,2.00%
Bhadrak,7,SC,Orissa,Arjun Charan Sethi,Biju Janata Dal,1372356,929526,67.70%,54938,5.90%
Bhagalpur,26,GEN,Bihar [2000 Onwards],Syed Shahnawaz Hussain,Bharatiya Janta Party,1433346,629032,43.90%,55811,8.90%
Bhandara - Gondiya,11,GEN,Maharashtra,Patel Praful Manoharbhai,Nationalist Congress Party,1450477,1030995,71.10%,251915,24.40%
Bharatpur,9,SC,Rajasthan,Ratan Singh,Indian National Congress,1437111,560919,39.00%,81454,14.50%
Bharuch,22,GEN,Gujarat,Mansukhbhai Dhanjibhai Vasava,Bharatiya Janta Party,1311539,749381,57.10%,27232,3.60%
Bhavnagar,15,GEN,Gujarat,Rajendrasinh Ghanshyamsinh Rana (Rajubhai Rana),Bharatiya Janta Party,1381619,623341,45.10%,5893,0.90%
Bhilwara,23,GEN,Rajasthan,C P Joshi,Indian National Congress,1492687,754956,50.60%,135368,17.90%
Bhind,2,SC,Madhya Pradesh [2000 Onwards],Ashok Argal Chhaviram,Bharatiya Janta Party,1364411,523783,38.40%,18886,3.60%
Bhiwandi,23,GEN,Maharashtra,Taware Suresh Kashinath,Indian National Congress,1483176,584180,39.40%,41364,7.10%
Bhiwani-Mahendragarh,8,GEN,Haryana,Shruti Choudhry,Indian National Congress,1212513,864504,71.30%,55577,6.40%
Bhongir,14,GEN,Andhra Pradesh,Komatireddy Raj Gopal Reddy,Indian National Congress,1478391,1129371,76.40%,139888,12.40%
Bhopal,19,GEN,Madhya Pradesh [2000 Onwards],Kailash Joshi,Bharatiya Janta Party,1461714,659263,45.10%,65157,9.90%
Bhubaneswar,18,GEN,Orissa,Prasanna Kumar Patasani,Biju Janata Dal,1447002,710998,49.10%,252760,35.60%
Bidar,7,GEN,Karnataka,N.Dharam Singh,Indian National Congress,1470507,779256,53.00%,39619,5.10%
Bijapur,4,SC,Karnataka,Jigajinagi Ramesh Chandappa,Bharatiya Janta Party,1373604,649623,47.30%,42404,6.50%
Bijnor,4,GEN,Uttar Pradesh [2000 Onwards],Sanjay Singh Chauhan,Rashtriya Lok Dal,1287070,707792,55.00%,28430,4.00%
Bikaner,2,SC,Rajasthan,Arjun Ram Meghwal,Bharatiya Janta Party,1381203,569941,41.30%,19575,3.40%
Bilaspur,5,GEN,Chhattisgarh,Dilip Singh Judev,Bharatiya Janta Party,1472793,770089,52.30%,20139,2.60%
Birbhum,42,GEN,West Bengal,Satabdi Roy,All India Trinamool Congress,1221893,1017879,83.30%,61519,6.00%
Bishnupur,37,SC,West Bengal,Susmita Bauri,Communist Party Of India (MARXIST),1237948,1054282,85.20%,129366,12.30%
Bolangir,10,GEN,Orissa,Kalikesh Narayan Singh Deo,Biju Janata Dal,1443484,1011776,70.10%,90835,9.00%
Bolpur,41,SC,West Bengal,Doctor Ram Chandra Dome,Communist Party Of India (MARXIST),1307730,1079122,82.50%,126882,11.80%
Bulandshahr,14,SC,Uttar Pradesh [2000 Onwards],Kamlesh,Samajwadi Party,1482749,668557,45.10%,66065,9.90%
Buldhana,5,GEN,Maharashtra,Jadhav Prataprao Ganpatrao,Shiv Sena,1382736,853885,61.80%,28078,3.30%
Burdwan - Durgapur,39,GEN,West Bengal,Sk. Saidul Haque,Communist Party Of India (MARXIST),1353380,1136226,84.00%,108237,9.50%
Buxar,33,GEN,Bihar [2000 Onwards],Jagada Nand Singh,Rashtriya Janata Dal,1340892,623629,46.50%,2238,0.40%
Chalakudy,11,GEN,Kerala,K.P. Dhanapalan,Indian National Congress,1075390,794306,73.90%,71679,9.00%
Chamarajanagar,22,SC,Karnataka,R.Dhruvanarayana,Indian National Congress,1433825,973651,67.90%,4002,0.40%
Chandauli,76,GEN,Uttar Pradesh [2000 Onwards],Ramkishun,Samajwadi Party,1446259,670998,46.40%,459,0.10%
Chandigarh,1,GEN,Chandigarh,Pawan Kumar Bansal,Indian National Congress,524444,343579,65.50%,58967,17.20%
Chandni Chowk,1,GEN,Delhi [1977 Onwards],Kapil Sibal,Indian National Congress,1413535,780507,55.20%,200710,25.70%
Chandrapur,13,GEN,Maharashtra,Ahir Hansaraj Gangaram,Bharatiya Janta Party,1536352,898509,58.50%,32495,3.60%
Chatra,4,GEN,Jharkhand,Inder Singh Namdhari,Independent,1037665,473936,45.70%,16178,3.40%
Chelvella,10,GEN,Andhra Pradesh,Jaipal Reddy Sudini,Indian National Congress,1681664,1084394,64.50%,18532,1.70%
Chennai Central,4,GEN,Tamil Nadu,Dayanidhi Maran,Dravida Munetra Kazhagam,1000705,610372,61.00%,33454,5.50%
Chennai North,2,GEN,Tamil Nadu,Elangovan T.K.S,Dravida Munetra Kazhagam,1016663,659927,64.90%,19153,2.90%
Chennai South,3,GEN,Tamil Nadu,Rajendran C,All India Anna Dravida Munnetra Kazhagam,1162062,728118,62.70%,32935,4.50%
Chhindwara,16,GEN,Madhya Pradesh [2000 Onwards],Kamal Nath,Indian National Congress,1154249,829304,71.90%,121220,14.60%
Chhota Udaipur,21,ST,Gujarat,Rathwa Ramsingbhai Patalbhai,Bharatiya Janta Party,1412306,765220,54.20%,26998,3.50%
Chidambaram,27,SC,Tamil Nadu,Thirumaavalavan Thol,Viduthalai Chiruthaigal Katchi,1126828,869428,77.20%,99083,11.40%
Chikkballapur,27,GEN,Karnataka,M.Veerappa Moily,Indian National Congress,1437155,978715,68.10%,51381,5.20%
Chikkodi,1,GEN,Karnataka,Katti Ramesh Vishwanath,Bharatiya Janta Party,1284427,868001,67.60%,55287,6.40%
Chitradurga,18,SC,Karnataka,Janardhana Swamy,Bharatiya Janta Party,1534169,836390,54.50%,135571,16.20%
Chittoor,42,SC,Andhra Pradesh,Naramalli Sivaprasad,Telugu Desam,1291921,1045061,80.90%,10659,1.00%
Chittorgarh,21,GEN,Rajasthan,(Dr.)Girija Vyas,Indian National Congress,1601444,795308,49.70%,72778,9.20%
Churu,3,GEN,Rajasthan,Ram Singh Kaswan,Bharatiya Janta Party,1532266,802665,52.40%,12440,1.50%
Coimbatore,20,GEN,Tamil Nadu,Natarajan.P.R.,Communist Party Of India (MARXIST),1163781,825118,70.90%,38664,4.70%
Cooch Behar,1,SC,West Bengal,Nripendra Nath Roy,All India Forward Bloc,1329086,1122253,84.40%,33749,3.00%
Cuddalore,26,GEN,Tamil Nadu,Alagiri S,Indian National Congress,986030,750000,76.10%,23532,3.10%
Cuttack,14,GEN,Orissa,Bhartruhari Mahtab,Biju Janata Dal,1283576,813330,63.40%,236292,29.10%
Dadra & Nagar Haveli,1,GEN,Dadra & Nagar Haveli,Patel Natubhai Gomanbhai,Bharatiya Janta Party,150704,110363,73.20%,618,0.60%
Dahod,19,ST,Gujarat,Dr. Prabha Kishor Taviad,Indian National Congress,1194821,534414,44.70%,58536,11.00%
Dakshina Kannada,17,GEN,Karnataka,Nalin Kumar Kateel,Bharatiya Janta Party,1364641,1016135,74.50%,40420,4.00%
Daman & Diu,1,GEN,Daman & Diu,Lalubhai Patel,Bharatiya Janta Party,95382,68023,71.30%,24838,36.50%
Damoh,7,GEN,Madhya Pradesh [2000 Onwards],Shivraj Bhaiya,Bharatiya Janta Party,1357985,599295,44.10%,70877,11.80%
Darbhanga,14,GEN,Bihar [2000 Onwards],Kirti Azad,Bharatiya Janta Party,1307067,545726,41.80%,46453,8.50%
Darjeeling,4,GEN,West Bengal,Jaswant Singh,Bharatiya Janta Party,1215464,967400,79.60%,253289,26.20%
Dausa,11,ST,Rajasthan,Kirodi Lal,Independent,1315810,841583,64.00%,137759,16.40%
Davanagere,13,GEN,Karnataka,G.M. Siddeswara,Bharatiya Janta Party,1344920,907281,67.50%,2024,0.20%
Deoria,66,GEN,Uttar Pradesh [2000 Onwards],Gorakh Prasad Jaiswal,Bahujan Samaj Party,1580745,715579,45.30%,41779,5.80%
Dewas,21,SC,Madhya Pradesh [2000 Onwards],Sajjan Singh Verma,Indian National Congress,1297313,787381,60.70%,15457,2.00%
Dhanbad,7,GEN,Jharkhand,Pashupati Nath Singh,Bharatiya Janta Party,1806475,813521,45.00%,58047,7.10%
Dhar,25,ST,Madhya Pradesh [2000 Onwards],Gajendra Singh Rajukhedi,Indian National Congress,1197172,654832,54.70%,2661,0.40%
Dharmapuri,10,GEN,Tamil Nadu,Thamaraiselvan. R,Dravida Munetra Kazhagam,1069601,778634,72.80%,135942,17.50%
Dharwad,11,GEN,Karnataka,Pralhad Joshi,Bharatiya Janta Party,1411500,798496,56.60%,137663,17.20%
Dhaurahra,29,GEN,Uttar Pradesh [2000 Onwards],Kunwar Jitin Prasad,Indian National Congress,1269584,759548,59.80%,184509,24.30%
Dhenkanal,9,GEN,Orissa,Tathagata Satpathy,Biju Janata Dal,1283608,856631,66.70%,186587,21.80%
Dhubri,4,GEN,Assam,Badruddin Ajmal,Assam United Democratic Front,1371949,1046985,76.30%,184419,17.60%
Dhule,2,GEN,Maharashtra,Sonawane Pratap Narayanrao,Bharatiya Janta Party,1575227,670487,42.60%,19419,2.90%
Diamond Harbour,21,GEN,West Bengal,Somendra Nath Mitra,All India Trinamool Congress,1302398,1054561,81.00%,151689,14.40%
Dibrugarh,13,GEN,Assam,Paban Singh Ghatowar,Indian National Congress,1114965,750734,67.30%,35143,4.70%
Dindigul,22,GEN,Tamil Nadu,Chitthan N S V,Indian National Congress,1085696,821253,75.60%,54347,6.60%
Dindori,20,ST,Maharashtra,Chavan Harishchandra Deoram,Bharatiya Janta Party,1432938,681629,47.60%,37347,5.50%
Domariyaganj,60,GEN,Uttar Pradesh [2000 Onwards],Jagdambika Pal,Indian National Congress,1499679,736139,49.10%,76566,10.40%
Dum Dum,16,GEN,West Bengal,Sougata Ray,All India Trinamool Congress,1212220,976769,80.60%,20478,2.10%
Dumka,2,ST,Jharkhand,Shibu Soren,Jharkhand Mukti Morcha,1128361,622736,55.20%,18812,3.00%
Durg,7,GEN,Chhattisgarh,Saroj Pandey,Bharatiya Janta Party,1620400,905900,55.90%,9954,1.10%
East Delhi,3,GEN,Delhi [1977 Onwards],Sandeep Dikshit,Indian National Congress,1604795,857422,53.40%,241053,28.10%
Eluru,27,GEN,Andhra Pradesh,Kavuri Sambasiva Rao,Indian National Congress,1275575,1084439,85.00%,42783,3.90%
Ernakulam,12,GEN,Kerala,Prof. K V Thomas,Indian National Congress,1023053,745856,72.90%,11790,1.60%
Erode,17,GEN,Tamil Nadu,Ganeshamurthi.A.,Marumalarchi Dravida Munnetra Kazhagam,1010079,768476,76.10%,49336,6.40%
Etah,22,GEN,Uttar Pradesh [2000 Onwards],Kalyan Singh R O Madholi,Independent,1278295,568046,44.40%,128268,22.60%
Etawah,41,SC,Uttar Pradesh [2000 Onwards],Premdas,Samajwadi Party,1416867,638202,45.00%,46746,7.30%
Faizabad,54,GEN,Uttar Pradesh [2000 Onwards],Nirmal Khatri,Indian National Congress,1500160,749262,50.00%,54228,7.20%
Faridabad,10,GEN,Haryana,Avtar Singh Bhadana,Indian National Congress,1103046,624896,56.70%,68201,10.90%
Faridkot,9,SC,Punjab,Paramjit Kaur Gulshan,Shiromani Akali Dal,1288090,930521,72.20%,62042,6.70%
Farrukhabad,40,GEN,Uttar Pradesh [2000 Onwards],Salman Khursheed,Indian National Congress,1306214,611143,46.80%,27199,4.50%
Fatehgarh Sahib,8,SC,Punjab,Sukhdev Singh,Indian National Congress,1207556,838150,69.40%,34299,4.10%
Fatehpur,49,GEN,Uttar Pradesh [2000 Onwards],Rakesh Sachan,Samajwadi Party,1536621,694396,45.20%,52228,7.50%
Fatehpur Sikri,19,GEN,Uttar Pradesh [2000 Onwards],Seema Upadhyay,Bahujan Samaj Party,1345742,695511,51.70%,9936,1.40%
Ferozpur,10,GEN,Punjab,Sher Singh Ghubaya,Shiromani Akali Dal,1342488,956952,71.30%,21071,2.20%
Firozabad,20,GEN,Uttar Pradesh [2000 Onwards],Akhilesh Yadav,Samajwadi Party,1422243,684881,48.20%,67301,9.80%
