PC Name,No,CATEGORY,State,WINNER,PARTY,Electors,Votes,Turnout,Margin,Margin %
Murshidabad,11,GEN,West Bengal,Abdul Mannan Hossain,Indian National Congress,1192899,1052242,88.20%,35647,3.40%
Muzaffarnagar,3,GEN,Uttar Pradesh [2000 Onwards],Kadir Rana,Bahujan Samaj Party,1370117,744973,54.40%,20598,2.80%
Muzaffarpur,15,GEN,Bihar [2000 Onwards],Captain Jai Narayan Prasad Nishad,Janata Dal (United),1339949,621870,46.40%,47809,7.70%
Mysore,21,GEN,Karnataka,Adagur H Vishwanath,Indian National Congress,1653991,974410,58.90%,7691,0.80%
Nabarangpur,12,ST,Orissa,Pradeep Kumar Majhi,Indian National Congress,1215653,792063,65.20%,29977,3.80%
Nagaland,1,ST,Nagaland,C.M. Chang,Nagaland Peoples Front,1321878,1189670,90.00%,483021,40.60%
Nagapattinam,29,SC,Tamil Nadu,Vijayan A K S,Dravida Munetra Kazhagam,982352,764572,77.80%,47962,6.30%
Nagarkurnool,12,SC,Andhra Pradesh,Dr. Manda Jagannath,Indian National Congress,1460484,1027695,70.40%,47767,4.60%
Nagaur,14,GEN,Rajasthan,Dr. Jyoti Mirdha,Indian National Congress,1486307,610003,41.00%,155137,25.40%
Nagina,5,SC,Uttar Pradesh [2000 Onwards],Yashvir Singh,Samajwadi Party,1196566,643784,53.80%,59688,9.30%
Nagpur,10,GEN,Maharashtra,Muttemwar Vilasrao Baburaoji,Indian National Congress,1738920,755714,43.50%,24399,3.20%
Nainital-Udhamsingh Nagar,4,GEN,Uttarakhand,K.C. Singh Baba,Indian National Congress,1284092,753947,58.70%,88412,11.70%
Nalanda,29,GEN,Bihar [2000 Onwards],Kaushalendra Kumar,Janata Dal (United),1719503,568233,33.10%,152677,26.90%
Nalgonda,13,GEN,Andhra Pradesh,Gutha Sukender Reddy,Indian National Congress,1455016,1083684,74.50%,152982,14.10%
Namakkal,16,GEN,Tamil Nadu,Gandhiselvan.S,Dravida Munetra Kazhagam,1075526,846216,78.70%,102431,12.10%
Nanded,16,GEN,Maharashtra,Khatgaonkar Patil Bhaskarrao Bapurao,Indian National Congress,1439015,774850,53.90%,74614,9.60%
Nandurbar,1,ST,Maharashtra,Gavit Manikrao Hodlya,Indian National Congress,1455543,766408,52.70%,79949,10.40%
Nandyal,34,GEN,Andhra Pradesh,S.P.Y.Reddy,Indian National Congress,1358711,996163,73.30%,90847,9.10%
Narasaraopet,31,GEN,Andhra Pradesh,Modugula Venugopala Reddy,Telugu Desam,1360431,1086317,79.90%,1607,0.10%
Narsapuram,26,GEN,Andhra Pradesh,Bapiraju Kanumuru,Indian National Congress,1173138,995129,84.80%,114690,11.50%
Nashik,21,GEN,Maharashtra,Sameer Bhujbal,Nationalist Congress Party,1448414,656930,45.40%,22032,3.40%
Navsari,25,GEN,Gujarat,C. R. Patil,Bharatiya Janta Party,1623415,757579,46.70%,132643,17.50%
Nawada,39,GEN,Bihar [2000 Onwards],Bhola Singh,Bharatiya Janta Party,1397512,581583,41.60%,34917,6.00%
Nellore,39,GEN,Andhra Pradesh,Mekapati Rajamohan Reddy,Indian National Congress,1450938,1006949,69.40%,54993,5.50%
New Delhi,4,GEN,Delhi [1977 Onwards],Ajay Makan,Indian National Congress,1373146,765180,55.70%,187809,24.50%
Nilgiris,19,SC,Tamil Nadu,Raja A,Dravida Munetra Kazhagam,1003168,709771,70.80%,86021,12.10%
Nizamabad,4,GEN,Andhra Pradesh,Madhu Yaskhi Goud,Indian National Congress,1333271,889962,66.80%,60390,6.80%
North East Delhi,2,GEN,Delhi [1977 Onwards],Jai Prakash Agarwal,Indian National Congress,1677058,877919,52.40%,222243,25.30%
North Goa,1,GEN,Goa,Shripad Yesso Naik,Bharatiya Janta Party,486983,292408,60.00%,6353,2.20%
North West Delhi,5,SC,Delhi [1977 Onwards],Krishna Tirath,Indian National Congress,1798181,857564,47.70%,184433,21.50%
Nowgong,10,GEN,Assam,Rajen Gohain,Bharatiya Janta Party,1411331,998937,70.80%,45380,4.50%
Ongole,33,GEN,Andhra Pradesh,Magunta Srinivasulu Reddy,Indian National Congress,1375558,1026948,74.70%,78523,7.60%
Osmanabad,40,GEN,Maharashtra,Patil Padamsinha Bajirao,Nationalist Congress Party,1608852,924810,57.50%,6787,0.70%
Outer Manipur,2,ST,Manipur,Thangso Baite,Indian National Congress,909496,753388,82.80%,119798,15.90%
Palakkad,8,GEN,Kerala,M.B. Rajesh,Communist Party Of India (MARXIST),1074818,790872,73.60%,1820,0.20%
Palamau,13,SC,Jharkhand,Kameshwar Baitha,Jharkhand Mukti Morcha,1417375,651271,46.00%,23538,3.60%
Palghar,22,ST,Maharashtra,Jadhav Baliram Sukur,Bahujan Vikas Aaghadi,1523061,732599,48.10%,12360,1.70%
Pali,15,GEN,Rajasthan,Badri Ram Jakhar,Indian National Congress,1682713,724620,43.10%,196717,27.10%
Panchmahal,18,GEN,Gujarat,Chauhan Prabhatsinh Pratapsinh,Bharatiya Janta Party,1423385,606673,42.60%,2081,0.30%
Parbhani,17,GEN,Maharashtra,Adv. Dudhgaonkar Ganeshrao Nagorao,Shiv Sena,1610088,870761,54.10%,65418,7.50%
Paschim Champaran,2,GEN,Bihar [2000 Onwards],Dr. Sanjay Jaiswal,Bharatiya Janta Party,1220868,515490,42.20%,47343,9.20%
Pataliputra,31,GEN,Bihar [2000 Onwards],Ranjan Prasad Yadav,Janata Dal (United),1526241,628364,41.20%,23541,3.70%
Patan,3,GEN,Gujarat,Jagdish Thakor,Indian National Congress,1417623,633160,44.70%,18504,2.90%
Pathanamthitta,17,GEN,Kerala,Anto Antony Punnathaniyil,Indian National Congress,1213370,798232,65.80%,111206,13.90%
Patiala,13,GEN,Punjab,Preneet Kaur,Indian National Congress,1344864,935959,69.60%,97389,10.40%
Patna Sahib,30,GEN,Bihar [2000 Onwards],Shatrughan Sinha,Bharatiya Janta Party,1641976,552538,33.70%,166770,30.20%
Peddapalli,2,SC,Andhra Pradesh,Dr.G.Vivekanand,Indian National Congress,1315642,904183,68.70%,49017,5.40%
Perambalur,25,GEN,Tamil Nadu,Napoleond.,Dravida Munetra Kazhagam,1049033,834811,79.60%,77604,9.30%
Phulpur,51,GEN,Uttar Pradesh [2000 Onwards],Kapil Muni Karwariya,Bahujan Samaj Party,1426451,551913,38.70%,14578,2.60%
Pilibhit,26,GEN,Uttar Pradesh [2000 Onwards],Varun Gandhi,Bharatiya Janta Party,1310007,837650,63.90%,281501,33.60%
Pollachi,21,GEN,Tamil Nadu,Sugumar.K,All India Anna Dravida Munnetra Kazhagam,1017811,773303,76.00%,46025,6.00%
Pondicherry,1,GEN,Pondicherry,Narayanasamy,Indian National Congress,762440,608533,79.80%,91772,15.10%
Ponnani,7,GEN,Kerala,E.T. Muhammed Basheer,Muslim League Kerala State Committee,997075,770205,77.30%,82684,10.70%
Porbandar,11,GEN,Gujarat,Radadiya Vitthalbhai Hansrajbhai,Indian National Congress,1385818,660768,47.70%,39503,6.00%
Pratapgarh,39,GEN,Uttar Pradesh [2000 Onwards],Rajkumari Ratna Singh,Indian National Congress,1435159,641017,44.70%,29779,4.60%
Pune,34,GEN,Maharashtra,Kalmadi Suresh,Indian National Congress,1806953,734482,40.70%,25701,3.50%
Puri,17,GEN,Orissa,Pinaki Misra,Biju Janata Dal,1322817,910198,68.80%,211305,23.20%
Purnia,12,GEN,Bihar [2000 Onwards],Uday Singh Alias Pappu Singh,Bharatiya Janta Party,1305396,704866,54.00%,186227,26.40%
Purulia,35,GEN,West Bengal,Narahari Mahato,All India Forward Bloc,1257799,905208,72.00%,19301,2.10%
Purvi Champaran,3,GEN,Bihar [2000 Onwards],Radha Mohan Singh,Bharatiya Janta Party,1187264,482094,40.60%,79290,16.40%
Rae Bareli,36,GEN,Uttar Pradesh [2000 Onwards],Sonia Gandhi,Indian National Congress,1379507,666699,48.30%,372165,55.80%
Raichur,6,ST,Karnataka,Pakkirappa.S.,Bharatiya Janta Party,1486326,682388,45.90%,30636,4.50%
Raigad,32,GEN,Maharashtra,Anant Geete,Shiv Sena,1359830,769264,56.60%,146521,19.00%
Raiganj,5,GEN,West Bengal,Deepa Dasmunsi,Indian National Congress,1108382,900271,81.20%,105203,11.70%
Raigarh,2,ST,Chhattisgarh,Vishnu Deo Sai,Bharatiya Janta Party,1432746,935750,65.30%,55848,6.00%
Raipur,8,GEN,Chhattisgarh,Ramesh Bais,Bharatiya Janta Party,1578868,741969,47.00%,57901,7.80%
Rajahmundry,25,GEN,Andhra Pradesh,Aruna Kumar Vundavalli,Indian National Congress,1260974,1021131,81.00%,2147,0.20%
Rajampet,41,GEN,Andhra Pradesh,Annayyagari Sai Prathap,Indian National Congress,1311449,997835,76.10%,110377,11.10%
Rajgarh,20,GEN,Madhya Pradesh [2000 Onwards],Narayansingh Amlabe,Indian National Congress,1261062,651383,51.70%,24388,3.70%
Rajkot,10,GEN,Gujarat,Kuvarjibhai Mohanbhai Bavalia,Indian National Congress,1455072,649750,44.70%,24735,3.80%
Rajmahal,1,ST,Jharkhand,Devidhan Besra,Bharatiya Janta Party,1167993,644495,55.20%,8983,1.40%
Rajnandgaon,6,GEN,Chhattisgarh,Madhusudan Yadav,Bharatiya Janta Party,1411051,830578,58.90%,119074,14.30%
Rajsamand,22,GEN,Rajasthan,Gopal Singh,Indian National Congress,1489231,591390,39.70%,45890,7.80%
Ramanathapuram,35,GEN,Tamil Nadu,Sivakumar @ J.K. Ritheesh. K,Dravida Munetra Kazhagam,1133391,779721,68.80%,69915,9.00%
Rampur,7,GEN,Uttar Pradesh [2000 Onwards],Jaya Prada Nahata,Samajwadi Party,1154544,606179,52.50%,30931,5.10%
Ramtek,9,SC,Maharashtra,Wasnik Mukul Balkrishna,Indian National Congress,1502900,765020,50.90%,16701,2.20%
Ranaghat,13,SC,West Bengal,Sucharu Ranjan Haldar,All India Trinamool Congress,1329436,1148874,86.40%,101823,8.90%
Ranchi,8,GEN,Jharkhand,Subodh Kant Sahay,Indian National Congress,1625148,723932,44.60%,13350,1.80%
Ratlam,24,ST,Madhya Pradesh [2000 Onwards],Kantilal Bhuria,Indian National Congress,1251597,637626,50.90%,57668,9.00%
Ratnagiri - Sindhudurg,46,GEN,Maharashtra,Dr.Nilesh Narayan Rane,Indian National Congress,1252255,719855,57.50%,46750,6.50%
Raver,4,GEN,Maharashtra,Haribhau Madhav Jawale,Bharatiya Janta Party,1418691,720215,50.80%,28218,3.90%
Rewa,10,GEN,Madhya Pradesh [2000 Onwards],Deoraj Singh Patel,Bahujan Samaj Party,1248727,603761,48.40%,4021,0.70%
Robertsganj,80,SC,Uttar Pradesh [2000 Onwards],Pakauri Lal,Samajwadi Party,1214735,595313,49.00%,50259,8.40%
Rohtak,7,GEN,Haryana,Deepender Singh,Indian National Congress,1274972,835610,65.50%,445736,53.30%
Sabarkantha,5,GEN,Gujarat,Chauhan Mahendrasinh,Bharatiya Janta Party,1452240,717642,49.40%,17160,2.40%
Sagar,5,GEN,Madhya Pradesh [2000 Onwards],Bhupendra Singh,Bharatiya Janta Party,1185166,570342,48.10%,131168,23.00%
Saharanpur,1,GEN,Uttar Pradesh [2000 Onwards],Jagdish Singh Rana,Bahujan Samaj Party,1298132,821119,63.30%,84873,10.30%
Salem,15,GEN,Tamil Nadu,Semmalai S,All India Anna Dravida Munnetra Kazhagam,1171839,895888,76.50%,46491,5.20%
Salempur,71,GEN,Uttar Pradesh [2000 Onwards],Ramashankar Rajbhar,Bahujan Samaj Party,1621136,635226,39.20%,18305,2.90%
Samastipur,23,SC,Bihar [2000 Onwards],Maheshwar Hazari,Janata Dal (United),1312948,584752,44.50%,104376,17.80%
Sambalpur,3,GEN,Orissa,Amarnath Pradhan,Indian National Congress,1233251,800562,64.90%,14874,1.90%
Sambhal,8,GEN,Uttar Pradesh [2000 Onwards],Dr. Shafiqur Rahman Barq,Bahujan Samaj Party,1290810,682137,52.90%,13464,2.00%
Sangli,44,GEN,Maharashtra,Pratik Prakashbapu Patil,Indian National Congress,1490571,778760,52.30%,39783,5.10%
Sangrur,12,GEN,Punjab,Vijay Inder Singla,Indian National Congress,1251401,931247,74.40%,40872,4.40%
Sant Kabir Nagar,62,GEN,Uttar Pradesh [2000 Onwards],Bhisma Shankar Alias Kushal Tiwari,Bahujan Samaj Party,1694453,800935,47.30%,29496,3.70%
Saran,20,GEN,Bihar [2000 Onwards],Lalu Prasad,Rashtriya Janata Dal,1268338,580830,45.80%,51815,8.90%
Sarguja,1,ST,Chhattisgarh,Murarilal Singh,Bharatiya Janta Party,1306822,805197,61.60%,159548,19.80%
Sasaram,34,SC,Bihar [2000 Onwards],Meira Kumar,Indian National Congress,1402789,599031,42.70%,42954,7.20%
Satara,45,GEN,Maharashtra,Bhonsle Shrimant Chh. Udyanraje Pratapsinhmaharaj,Nationalist Congress Party,1546146,816703,52.80%,297515,36.40%
Satna,9,GEN,Madhya Pradesh [2000 Onwards],Ganesh Singh,Bharatiya Janta Party,1207500,659947,54.70%,4418,0.70%
Secundrabad,8,GEN,Andhra Pradesh,Anjan Kumar Yadav M,Indian National Congress,1574818,865489,55.00%,170167,19.70%
Shahdol,12,ST,Madhya Pradesh [2000 Onwards],Rajesh Nandini Singh,Indian National Congress,1272377,629477,49.50%,13415,2.10%
Shahjahanpur,27,SC,Uttar Pradesh [2000 Onwards],Mithlesh,Samajwadi Party,1627964,792516,48.70%,70579,8.90%
Sheohar,4,GEN,Bihar [2000 Onwards],Rama Devi,Bharatiya Janta Party,1269056,573012,45.20%,125684,21.90%
Shillong,1,ST,Meghalaya,Vincent H Pala,Indian National Congress,771965,480424,62.20%,107868,22.50%
Shimla,4,SC,Himachal Pradesh,Virender Kashyap,Bharatiya Janta Party,1106608,616777,55.70%,27327,4.40%
Shimoga,14,GEN,Karnataka,B.Y. Raghavendra,Bharatiya Janta Party,1435908,954752,66.50%,52893,5.50%
Shirdi,38,SC,Maharashtra,Wakchaure Bhausaheb Rajaram,Shiv Sena,1317890,663964,50.40%,132751,20.00%
Shirur,36,GEN,Maharashtra,Adhalrao Shivaji Dattatray,Shiv Sena,1630466,839734,51.50%,178611,21.30%
Shrawasti,58,GEN,Uttar Pradesh [2000 Onwards],Vinay Kumar Alias Vinnu,Indian National Congress,1405884,605386,43.10%,42029,6.90%
Sidhi,11,GEN,Madhya Pradesh [2000 Onwards],Govind Prasad Mishra,Bharatiya Janta Party,1358291,675867,49.80%,45740,6.80%
Sikar,5,GEN,Rajasthan,Mahadev Singh,Indian National Congress,1507740,725873,48.10%,149426,20.60%
Sikkim,1,GEN,Sikkim,Prem Das Rai,Sikkim Democratic Front,300584,257159,85.60%,84868,33.00%
Silchar,2,GEN,Assam,Kabindra Purkayastha,Bharatiya Janta Party,978510,688547,70.40%,41470,6.00%
Singhbhum,10,ST,Jharkhand,Madhu Kora,Independent,957406,579926,60.60%,89673,15.50%
Sirsa,3,SC,Haryana,Ashok Tanwar,Indian National Congress,1309507,981472,75.00%,35499,3.60%
Sitamarhi,5,GEN,Bihar [2000 Onwards],Arjun Roy,Janata Dal (United),1355817,576772,42.50%,110566,19.20%
Sitapur,30,GEN,Uttar Pradesh [2000 Onwards],Kaisar Jahan,Bahujan Samaj Party,1230078,704998,57.30%,19632,2.80%
Sivaganga,31,GEN,Tamil Nadu,Chidambaram P,Indian National Congress,1092438,776037,71.00%,3354,0.40%
Siwan,18,GEN,Bihar [2000 Onwards],Om Prakash Yadav,Independent,1282480,642234,50.10%,63430,9.90%
Solapur,42,SC,Maharashtra,Shinde Sushilkumar Sambhajirao,Indian National Congress,1594138,743336,46.60%,99632,13.40%
Sonipat,6,GEN,Haryana,Jitender Singh,Indian National Congress,1099978,712449,64.80%,161284,22.60%
South Delhi,7,GEN,Delhi [1977 Onwards],Ramesh Kumar,Indian National Congress,1542412,731332,47.40%,93219,12.70%
South Goa,2,GEN,Goa,Cosme Francisco Caitano Sardinha,Indian National Congress,533811,272223,51.00%,12516,4.60%
Srerampur,27,GEN,West Bengal,Kalyan Banerjee,All India Trinamool Congress,1395570,1081979,77.50%,137190,12.70%
Srikakulam,19,GEN,Andhra Pradesh,Killi Krupa Rani,Indian National Congress,1226125,921680,75.20%,82987,9.00%
Srinagar,2,GEN,Jammu & Kashmir,Farooq Abdullah,Jammu & Kashmir National Conference,1106729,282769,25.60%,30242,10.70%
Sriperumbudur,5,GEN,Tamil Nadu,Baalu T R,Dravida Munetra Kazhagam,1201237,794505,66.10%,25036,3.20%
Sultanpur,38,GEN,Uttar Pradesh [2000 Onwards],Dr.Sanjay Singh,Indian National Congress,1430955,707853,49.50%,98779,14.00%
Sundargarh,2,ST,Orissa,Hemanand Biswal,Indian National Congress,1248955,768000,61.50%,11624,1.50%
Supaul,8,GEN,Bihar [2000 Onwards],Vishwa Mohan Kumar,Janata Dal (United),1279549,697682,54.50%,166075,23.80%
Surat,24,GEN,Gujarat,Shrimati Darshana Vikram Jardosh,Bharatiya Janta Party,1420969,695809,49.00%,74798,10.70%
Surendranagar,9,GEN,Gujarat,Koli Patel Somabhai Gandalal,Indian National Congress,1475820,586318,39.70%,4831,0.80%
Tamluk,30,GEN,West Bengal,Adhikari Suvendu,All India Trinamool Congress,1271230,1148299,90.30%,172958,15.10%
Tehri Garhwal,1,GEN,Uttarakhand,Vijay Bahuguna,Indian National Congress,1159691,585576,50.50%,52939,9.00%
Tenkasi,37,SC,Tamil Nadu,Lingam P,Communist Party Of India,1063614,748010,70.30%,34677,4.60%
Tezpur,9,GEN,Assam,Joseph Toppo,Asom Gana Parisad,1210132,843506,69.70%,30153,3.60%
Thane,25,GEN,Maharashtra,Dr.Sanjeev Ganesh Naik,Nationalist Congress Party,1806803,749910,41.50%,49020,6.50%
Thanjavur,30,GEN,Tamil Nadu,Palanimanickam.S.S,Dravida Munetra Kazhagam,1054118,808675,76.70%,101787,12.60%
Theni,33,GEN,Tamil Nadu,Aaron Rashid.J.M,Indian National Congress,1074931,800576,74.50%,6302,0.80%
Thiruvallur,1,SC,Tamil Nadu,Venugopal.P,All India Anna Dravida Munnetra Kazhagam,1204209,850021,70.60%,31673,3.70%
Thiruvananthapuram,20,GEN,Kerala,Shashi Tharoor,Indian National Congress,1122047,740023,66.00%,99998,13.50%
Thoothukkudi,36,GEN,Tamil Nadu,Jeyadurai.S.R,Dravida Munetra Kazhagam,949153,656365,69.20%,76649,11.70%
Thrissur,10,GEN,Kerala,P C Chacko,Indian National Congress,1174161,817245,69.60%,25151,3.10%
Tikamgarh,6,SC,Madhya Pradesh [2000 Onwards],Virendra Kumar,Bharatiya Janta Party,1209553,525441,43.40%,41862,8.00%
Tiruchirappalli,24,GEN,Tamil Nadu,Kumar.P,All India Anna Dravida Munnetra Kazhagam,1067193,719031,67.40%,4335,0.60%
Tirunelveli,38,GEN,Tamil Nadu,Ramasubbu S,Indian National Congress,1059687,701402,66.20%,21303,3.00%
Tirupati,40,SC,Andhra Pradesh,Chinta Mohan,Indian National Congress,1464896,1064727,72.70%,19276,1.80%
Tiruppur,18,GEN,Tamil Nadu,Sivasami C,All India Anna Dravida Munnetra Kazhagam,993758,742273,74.70%,85346,11.50%
Tiruvannamalai,11,GEN,Tamil Nadu,Venugopal.D,Dravida Munetra Kazhagam,1052587,842279,80.00%,148300,17.60%
Tonk-Sawai Madhopur,12,GEN,Rajasthan,Namo Narain,Indian National Congress,1510047,802459,53.10%,317,0.00%
Tripura East,2,ST,Tripura,Baju Ban Riyan,Communist Party Of India (MARXIST),988466,824246,83.40%,295581,35.90%
Tripura West,1,GEN,Tripura,Khagen Das,Communist Party Of India (MARXIST),1093799,941508,86.10%,248549,26.40%
Tumkur,19,GEN,Karnataka,G.S. Basavaraj,Bharatiya Janta Party,1388773,899917,64.80%,21445,2.40%
Tura,2,ST,Meghalaya,Agatha K. Sangma,Nationalist Congress Party,505774,342205,67.70%,17945,5.20%
Udaipur,19,ST,Rajasthan,Raghuvir Singh Meena,Indian National Congress,1564137,758687,48.50%,164925,21.70%
Udhampur,5,GEN,Jammu & Kashmir,Ch. Lal Singh,Indian National Congress,1363060,611779,44.90%,13394,2.20%
Udupi Chikmagalur,15,GEN,Karnataka,D.V.Sadananda Gowda,Bharatiya Janta Party,1224335,835648,68.30%,27018,3.20%
Ujiarpur,22,GEN,Bihar [2000 Onwards],Aswamedh Devi,Janata Dal (United),1229327,564247,45.90%,25312,4.50%
Ujjain,22,SC,Madhya Pradesh [2000 Onwards],Guddu Premchand,Indian National Congress,1253686,667635,53.30%,15841,2.40%
Uluberia,26,GEN,West Bengal,Sultan Ahmed,All India Trinamool Congress,1251590,1009905,80.70%,98936,9.80%
Unnao,33,GEN,Uttar Pradesh [2000 Onwards],Annutandon,Indian National Congress,1818980,904542,49.70%,302092,33.40%
Uttara Kannada,12,GEN,Karnataka,Anantkumar Hegde,Bharatiya Janta Party,1286556,760547,59.10%,22769,3.00%
Vadakara,3,GEN,Kerala,Mullappally Ramachandran,Indian National Congress,1071171,866349,80.90%,56186,6.50%
Vadodara,20,GEN,Gujarat,Balkrishna Khanderao Shukla (Balu Shukla),Bharatiya Janta Party,1524060,747196,49.00%,136028,18.20%
Vaishali,16,GEN,Bihar [2000 Onwards],Raghuvansh Prasad Singh,Rashtriya Janata Dal,1278891,624863,48.90%,22308,3.60%
Valmiki Nagar,1,GEN,Bihar [2000 Onwards],Baidyanath Prasad Mahto,Janata Dal (United),1275653,598456,46.90%,183675,30.70%
Valsad,26,ST,Gujarat,Kishanbhai Vestabhai Patel,Indian National Congress,1380245,774452,56.10%,7169,0.90%
Varanasi,77,GEN,Uttar Pradesh [2000 Onwards],Dr. Murli Manohar Joshi,Bharatiya Janta Party,1561854,665719,42.60%,17211,2.60%
Vellore,8,GEN,Tamil Nadu,Abdul Rahman,Dravida Munetra Kazhagam,1010067,723658,71.60%,107393,14.80%
Vidisha,18,GEN,Madhya Pradesh [2000 Onwards],Sushma Swaraj,Bharatiya Janta Party,1233394,556170,45.10%,389844,70.10%
Vijayawada,29,GEN,Andhra Pradesh,Lagadapati Raja Gopal,Indian National Congress,1402315,1092063,77.90%,12712,1.20%
Viluppuram,13,SC,Tamil Nadu,Anandan M,All India Anna Dravida Munnetra Kazhagam,1068171,796914,74.60%,2797,0.40%
Virudhunagar,34,GEN,Tamil Nadu,Manicka Tagore,Indian National Congress,992051,768609,77.50%,15764,2.10%
Visakhapatnam,21,GEN,Andhra Pradesh,Daggubati Purandeswari,Indian National Congress,1387482,1013929,73.10%,66686,6.60%
Vizianagaram,20,GEN,Andhra Pradesh,Jhansi Lakshmi Botcha,Indian National Congress,1323238,1024364,77.40%,60571,5.90%
Warangal,15,SC,Andhra Pradesh,Rajaiah Siricilla,Indian National Congress,1486617,1031522,69.40%,124661,12.10%
Wardha,8,GEN,Maharashtra,Datta Meghe,Indian National Congress,1408781,769846,54.70%,95918,12.50%
Wayanad,4,GEN,Kerala,M.I. Shanavas,Indian National Congress,1102097,825047,74.90%,153439,18.60%
West Delhi,6,GEN,Delhi [1977 Onwards],Mahabal Mishra,Indian National Congress,1687727,884241,52.40%,129010,14.60%
Yavatmal-Washim,14,GEN,Maharashtra,Bhavana Gawali (Patil),Shiv Sena,1554042,840574,54.10%,56951,6.80%
Zahirabad,5,GEN,Andhra Pradesh,Suresh Kumar Shetkar,Indian National Congress,1359566,1021137,75.10%,17407,1.70%
